Model,R-squared,Durbin-Watson,RMSE,Forecast (Final),Report_Date
AR(1),0.9749,1.5372,0.25,1.6553,2025-11-14
XGBoost,0.9976,1.95,0.1846,2.5155,2025-11-14
LSTM,0.985,2.05,0.2326,2.9,2025-11-14
Ensemble (Stacking),N/A,N/A,N/A,2.5991,2025-11-14
